year,month,net_sales,total_invoice,total_quantity
2009,12,799847.1100000006,2330,420088
2010,1,624032.8919999998,1633,375363
2010,2,533091.4259999996,1969,368402
2010,3,765848.7609999995,2367,489370
2010,4,590580.4319999996,1892,351971
2010,5,615322.8300000003,2418,364095
2010,6,679786.61,2216,388253
2010,7,575236.3600000005,2017,302201
2010,8,656776.3400000008,1877,451803
2010,9,853650.4309999999,2375,478262
2010,10,1045168.3499999988,2965,601729
2010,11,1422654.6420000012,3669,673856
2010,12,1126445.4699999997,2025,508876
2011,1,560000.2599999991,1476,308966
2011,2,498062.64999999956,1393,277989
2011,3,683267.0800000014,1983,351872
2011,4,493207.1210000001,1744,289098
2011,5,723333.509999998,2162,380391
2011,6,691123.1199999999,2012,341623
2011,7,681300.1110000017,1927,391116
2011,8,682680.5099999998,1737,406199
2011,9,1019687.6220000017,2327,549817
2011,10,1070704.670000001,2637,570532
2011,11,1461756.2500000012,3462,740286
2011,12,433686.0100000004,1015,226334
